"Deployment Timeline","List","URL","Domain Name","Small Medium Contacts","ALl Companies","Number Of Results","Enrich Company","Name","Website","Employee Count","Locality","LinkedIn Url","Address","City","State","Country","Employee Count (2)","Industry","Send table data","Send table data (2)"
"Friday","Medium & Small Contacts","alectrautilities.com","alectrautilities.com","❌ 0 Records Found","❌ 0 Records Found",,"Alectra Inc.","Alectra Inc.","http://www.alectra.com",1162,"Mississauga, Ontario","https://www.linkedin.com/company/alectra","2185 Derry Road West, Mississauga, Ontario L5N 7A6, CA","Mississauga","Ontario","CA",1162,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","bchydro.com","bchydro.com","❌ 0 Records Found","❌ 0 Records Found",,"BC Hydro","BC Hydro","http://www.bchydro.com",6796,"Vancouver, British Columbia","https://www.linkedin.com/company/bchydro","333 Dunsmuir Street, Vancouver, British Columbia V6B 5R3, CA","Vancouver","British Columbia","CA",6796,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","bluewaterpower.com","bluewaterpower.com","❌ 0 Records Found","❌ 0 Records Found",,"Bluewater Power Distribution Corporation","Bluewater Power Distribution Corporation","http://bluewaterpower.com",53,"Sarnia, Ontario","https://www.linkedin.com/company/bluewater-power-distribution-corporation","855 CONFEDERATION ST, Sarnia, Ontario N7T 7L6, CA","Sarnia","Ontario","CA",53,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","canadianpower.com","canadianpower.com","❌ 0 Records Found","❌ 0 Records Found",,"Canadian Power Holdings","Canadian Power Holdings","http://canadianpower.com",8,"Calgary, Alberta","https://www.linkedin.com/company/canadian-power-holdings","322 11 Ave SW #801, Calgary, Alberta T2R 0C5, CA","Calgary","Alberta","CA",8,,"✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","capitalpower.com","capitalpower.com","❌ 0 Records Found","❌ 0 Records Found",,"Capital Power","Capital Power","http://www.capitalpower.com",865,"Edmonton, Alberta","https://www.linkedin.com/company/capital-power","1200-10423 101 Street, Edmonton, Alberta T5H0E9, CA","Edmonton","Alberta","CA",865,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","medicinehat.ca","medicinehat.ca","❌ 0 Records Found","❌ 0 Records Found",,"City of Medicine Hat","City of Medicine Hat","https://www.medicinehat.ca/",716,"Medicine Hat, Alberta","https://www.linkedin.com/company/city-of-medicine-hat","580 1 St SE, Medicine Hat, Alberta T1A 8E6, CA","Medicine Hat","Alberta","CA",716,"Government Administration","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","reddeer.ca","reddeer.ca","❌ 0 Records Found","❌ 0 Records Found",,"City of Red Deer","City of Red Deer","https://www.reddeer.ca",770,"Red Deer, Alberta","https://www.linkedin.com/company/cityofreddeer","4914 48 Ave, Red Deer, Alberta T4N 3T3, CA","Red Deer","Alberta","CA",770,"Government Administration","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","clearlightenergy.com","clearlightenergy.com","❌ 0 Records Found","❌ 0 Records Found",,"Clearlight Energy","Clearlight Energy","https://clearlightenergy.com/",77,"Oakville, ON","https://www.linkedin.com/company/clearlightenergy","Oakville, ON, CA","Oakville","ON","CA",77,"Renewable Energy Power Generation","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","evolugen.com","evolugen.com","❌ 0 Records Found","❌ 0 Records Found",,"Evolugen by Brookfield Renewable","Evolugen by Brookfield Renewable","http://www.evolugen.com",58,"Gatineau, Quebec","https://www.linkedin.com/company/evolugen","41 Rue Victoria, Gatineau, Quebec J8X 2A1, CA","Gatineau","Quebec","CA",58,"Renewable Energy Power Generation","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","fortisbc.com","fortisbc.com","❌ 0 Records Found","❌ 0 Records Found",,"FortisBC","FortisBC","https://www.fortisbc.com",2322,"Surrey, British Columbia","https://www.linkedin.com/company/fortisbc","16705 Fraser Highway, Surrey, British Columbia V4N 0E8, CA","Surrey","British Columbia","CA",2322,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","fortisontario.com","fortisontario.com","❌ 0 Records Found","❌ 0 Records Found",,"FortisOntario Inc.","FortisOntario Inc.","http://www.fortisontario.com",21,"Fort Erie, Ontario","https://www.linkedin.com/company/fortisontario-inc.","PO Box 1218, 1130 Bertie Street, Fort Erie, Ontario L2A 5Y2, CA","Fort Erie","Ontario","CA",21,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","hydroone.com","hydroone.com","❌ 0 Records Found","❌ 0 Records Found",,"Hydro One","Hydro One","http://www.hydroone.com",5532,"Toronto, Ontario","https://www.linkedin.com/company/hydro-one","483 Bay Street, Toronto, Ontario M5G 2P5, CA","Toronto","Ontario","CA",5532,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","hydroottawa.com","hydroottawa.com","❌ 0 Records Found","❌ 0 Records Found",,"Hydro Ottawa","Hydro Ottawa","www.hydroottawagroup.com",613,"ottawa","https://www.linkedin.com/company/hydro-ottawa","Ottawa, CA","ottawa","","CA",613,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","hydroquebec.com/residentiel","hydroquebec.com","❌ 0 Records Found","❌ 0 Records Found",,"Hydro Québec","Hydro Québec","http://www.hydroquebec.com",15683,"Montréal, Québec","https://www.linkedin.com/company/hydro-quebec","75 boul. René-Lévesque Ouest, Montréal, Québec H2S 1A4, CA","Montréal","Québec","CA",15683,"Renewable Energy Power Generation","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","ieso.ca","ieso.ca","❌ 0 Records Found","❌ 0 Records Found",,"Independent Electricity System Operator (IESO)","Independent Electricity System Operator (IESO)","http://www.ieso.ca",1110,"Toronto, Ontario","https://www.linkedin.com/company/ieso","120 Adelaide Street West, Toronto, Ontario M5H 1T1, CA","Toronto","Ontario","CA",1110,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","londonhydro.com","londonhydro.com","❌ 0 Records Found","❌ 0 Records Found",,"London Hydro","London Hydro","http://www.londonhydro.com",296,"London, Ontario","https://www.linkedin.com/company/london-hydro","111 Horton Street, London, Ontario N6A 4H6, CA","London","Ontario","CA",296,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","hydro.mb.ca","hydro.mb.ca","❌ 0 Records Found","❌ 0 Records Found",,"Manitoba Hydro","Manitoba Hydro","http://www.hydro.mb.ca/",3241,"Winnipeg, Manitoba","https://www.linkedin.com/company/manitoba-hydro","360 Portage Avenue, Winnipeg, Manitoba R3C 0G8, CA","Winnipeg","Manitoba","CA",3241,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","ntpc.com","ntpc.com","❌ 0 Records Found","❌ 0 Records Found",,"NTPC – Northwest Territories Power Corporation","NTPC – Northwest Territories Power Corporation","https://poweringNWT.ca",184,"Hay River","https://www.linkedin.com/company/nwt-power-corporation","Hay River, CA","Hay River","","CA",184,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","oakvillehydro.com","oakvillehydro.com","❌ 0 Records Found","❌ 0 Records Found",,"Oakville Hydro","Oakville Hydro","http://oakvillehydro.com",92,"Oakville, Ontario","https://www.linkedin.com/company/oakville-hydro","861 Redwood Square, Oakville, Ontario L6L 6R6, CA","Oakville","Ontario","CA",92,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","opg.com","opg.com","❌ 0 Records Found","❌ 0 Records Found",,"Ontario Power Generation","Ontario Power Generation","http://www.opg.com",9448,"Toronto, ON","https://www.linkedin.com/company/ontario-power-generation","700 University Avenue, Toronto, ON M5G 1X6, CA","Toronto","ON","CA",9448,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","riotinto.com","riotinto.com","❌ 0 Records Found","❌ 0 Records Found",,"Rio Tinto","Rio Tinto","http://www.riotinto.com",40496,"London, Greater London","https://www.linkedin.com/company/rio-tinto","6 St James's Square, London, Greater London SW1Y 4AD, GB","London","Greater London","GB",40496,"Mining","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","sjenergy.com","sjenergy.com","❌ 0 Records Found","❌ 0 Records Found",,"Saint John Energy","Saint John Energy","https://sjenergy.ca",78,"Saint John, New Brunswick","https://www.linkedin.com/company/sjenergy","325 Simms Street, Saint John, New Brunswick E2M 3L6, CA","Saint John","New Brunswick","CA",78,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","saskatoon.ca","saskatoon.ca","❌ 0 Records Found","❌ 0 Records Found",,"City of Saskatoon","City of Saskatoon","http://www.saskatoon.ca",1841,"Saskatoon, SK","https://www.linkedin.com/company/city-of-saskatoon","222 Third Ave North, Saskatoon, SK S7K 0J5, CA","Saskatoon","SK","CA",1841,"Government Administration","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","tcenergy.com","tcenergy.com","❌ 0 Records Found","❌ 0 Records Found",,"TC Energy","TC Energy","https://www.TCEnergy.com/",8106,"Calgary, Alberta","https://www.linkedin.com/company/tcenergy","450 1st Street SW, Calgary, Alberta T2P 5H1, CA","Calgary","Alberta","CA",8106,"Oil and Gas","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","torontohydro.com","torontohydro.com","❌ 0 Records Found","❌ 0 Records Found",,"Toronto Hydro","Toronto Hydro","http://www.torontohydro.com",1856,"Toronto, ON","https://www.linkedin.com/company/toronto-hydro","14 Carlton St, Toronto, ON M5B 1K5, CA","Toronto","ON","CA",1856,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","transalta.com","transalta.com","❌ 0 Records Found","❌ 0 Records Found",,"TransAlta","TransAlta","http://www.transalta.com",1571,"Calgary, Alberta","https://www.linkedin.com/company/transalta","TransAlta Place, 1100 1 St SE, Suite 1400, Calgary, Alberta T2G 1B1, CA","Calgary","Alberta","CA",1571,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","utilitieskingston.com","utilitieskingston.com","❌ 0 Records Found","❌ 0 Records Found",,"Utilities Kingston","Utilities Kingston","http://www.utilitieskingston.com",160,"Kingston, Ontario","https://www.linkedin.com/company/utilities-kingston","85 Lappan's Lane, Kingston, Ontario K7L 4X7, CA","Kingston","Ontario","CA",160,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","yukonenergy.ca","yukonenergy.ca","❌ 0 Records Found","❌ 0 Records Found",,"Yukon Energy Corporation","Yukon Energy Corporation","http://www.yukonenergy.ca",107,"Whitehorse, YT","https://www.linkedin.com/company/yukon-energy-corp","2 Miles Canyon Rd, Whitehorse, YT Y1A 6L4, CA","Whitehorse","YT","CA",107,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","https://kbelectric.online/service/sports-lighting-installation","kbelectric.online","❌ 0 Records Found","❌ 0 Records Found",,"❌ Company Not Found",,,,,,,"","",,,,"✅ Sent","✅ Sent"
"Friday","Original List","http://www.willplumb.com","willplumb.com","❌ 0 Records Found","❌ 0 Records Found",,"Williams Plumbing / Williams Civil Construction","Williams Plumbing / Williams Civil Construction","http://www.willplumb.com",155,"Belgrade, MT","https://www.linkedin.com/company/williams-companies","370 Companion Way, Belgrade, MT 59714, US","Belgrade","MT","US",155,"Construction","✅ Sent","✅ Sent"
"Friday","Original List","cable-services.com","cable-services.com","❌ 0 Records Found","❌ 0 Records Found",,"Cable Services Company, Inc.","Cable Services Company, Inc.","http://www.cable-services.com",79,"Williamsport, PA","https://www.linkedin.com/company/cable-services-company-inc.","2113 Marydale Ave, Williamsport, PA 17701, US","Williamsport","PA","US",79,"Telecommunications","✅ Sent","✅ Sent"
"Friday","Original List","http://www.groupesmtardif.com","groupesmtardif.com","❌ 0 Records Found","❌ 0 Records Found",,"Groupe SM Tardif / SM Construction / Pagui / Tardif Métal","Groupe SM Tardif / SM Construction / Pagui / Tardif Métal","http://www.groupesmtardif.com",170,"Québec, Québec","https://www.linkedin.com/company/sm-construction","15971 boulevard de la colline, Québec, Québec G3G 3A7, CA","Québec","Québec","CA",170,"Construction","✅ Sent","✅ Sent"
"Friday","Original List","voltyx.com","voltyx.com","❌ 0 Records Found","❌ 0 Records Found",,"Electric Power Systems","Electric Power Systems","www.voltyx.com",717,"Maryland Heights, MO","https://www.linkedin.com/company/electric-power-systems","21 Millpark Ct, Maryland Heights, MO 63043, US","Maryland Heights","MO","US",717,"Utilities","✅ Sent","✅ Sent"
"Friday","Original List",,"",,,,,,,,,,,"","",,,,"✅ Sent","✅ Sent"
