Company Name,Website,Phone,Street Address,City,State / Province,Country,Zip / Postal Code,Full Address,LinkedIn URL,Industry,Source
Acec,http://ac-ec.ca,+1 705-312-8712,,,,Canada,,Canada,,"Electrical Distribution, Electronics, Service Industry, Commercial",Ocean
AY Electrical,http://ayelectrical.ca,+1 416-939-3301,,,,Canada,,Canada,https://www.linkedin.com/company/ay-electrical,Construction,Ocean
Boring Solutions,http://boringsolutions.ca,"+1 705-816-5541, +1 905-410-2120",,,,Canada,,Canada,https://www.linkedin.com/company/boring-solutions-inc-ca,Construction,Ocean
El-Con Construction,http://el-con.ca,+1 905-825-4461,,,,Canada,,Canada,https://www.linkedin.com/company/el-con-construction-inc,Construction,Ocean
Kaion Energy Solutions,http://kaionenergy.com,+1 905-604-3448,,,,Canada,,Canada,https://www.linkedin.com/company/kaion-energy-solutions-ltd-,Construction,Ocean
KCI Kraft Consulting,http://kraftconsulting.ca,,,,,Canada,,Canada,https://www.linkedin.com/company/kci-kraft-consulting-inc-,Construction,Ocean
Nixon Projects,http://nixonprojects.ca,"+1 403-743-0861, +1 877-902-7648",Range Road 173,,,Canada,,"Range Road 173, Canada",https://www.linkedin.com/company/nixon-projects-inc.,Construction,Ocean
Septic Service,http://randyhovland.com,+1 530-961-2811,CA LIC.# 585887 Plumas County,,,Canada,,"CA LIC.# 585887 Plumas County, Canada",https://www.linkedin.com/company/septic-service-randy-hovland-ca,Construction,Ocean
Tressling,http://tressling.com,"+1 647-984-3582, +966 54 031 0205",,,,Canada,,Canada,https://www.linkedin.com/company/tressling-capital-corporation,Financial Services,Ocean
Western Municipal Contracting,http://wmcltd.ca,+1 780-460-9540,,,,Canada,,Canada,https://www.linkedin.com/company/western-municipal-contracting-ltd,Construction,Ocean
NOVA RPM,http://novaltd.ca,+1 780-815-4815,Box 4748,Bonnyville,AB,Canada,T9N 0H2,"Box 4748, Bonnyville, AB, T9N 0H2, Canada",https://www.linkedin.com/company/nova-construction-services-and-mechanical-systems,Construction,Ocean
AIP Safety,http://aipsafety.com,"+1 403-202-2477, +1 800-667-5557",202 29th Ave NE,Calgary,AB,Canada,T2E 2C1,"202 29th Ave NE, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/aip-safety-ltd,Professional Training and Coaching,Ocean
Bob Downing Electric,http://bobdowningelectric.com,+1 707-498-4892,PO BOX 658,Calgary,AB,Canada,T2E 2C1,"PO BOX 658, Calgary, AB, T2E 2C1, Canada",,"Electrical Distribution, Electronics, Commercial, Service Industry, Construction",Ocean
Cal-Tech Electrical Services,http://ctes.ca,+1 403-277-4852,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/cal-tech-electrical-services-ltd,"Electrical Distribution, Electronics, Lighting, Service Industry, Commercial",Ocean
CB Process Instrumentation and Controls,http://cbprocess.ca,"+1 780-238-3940, +1 800-992-2364, +1 888-259-1666, +1 403-506-9558, +1 403-259-6220, +1 403-259-3377, +1 780-465-9370, +1 780-469-9217, +1 604-765-3397",12A Street SE,Calgary,AB,Canada,T2G 5K9,"12A Street SE, Calgary, AB, T2G 5K9, Canada",https://www.linkedin.com/company/cb-process,Automation Machinery Manufacturing,Ocean
Connect-X,http://connectex.io,+1 289-707-1863,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/connectex,IT Services and IT Consulting,Ocean
Core Products Canada,http://coreproducts.ca,+1 416-244-1711,837 34 Ave SE,Calgary,AB,Canada,T2E 2C1,"837 34 Ave SE, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/core-products-canada,IT Services and IT Consulting,Ocean
Critical Minerals Conference Series 2025,http://criticalmineralsconference.com,"+1 403-808-3560, +1 250-763-2800, +1 403-437-3484, +1 587-216-2888, +1 587-899-8226",16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/critical-minerals-conference,Mining,Ocean
Desiderata Energy Consulting,http://desiderataenergy.com,+1 403-869-6200,Colgrove Avenue NE,Calgary,AB,Canada,T2E 5C1,"Colgrove Avenue NE, Calgary, AB, T2E 5C1, Canada",https://www.linkedin.com/company/desiderata-energy-consulting,"Appliances, Electrical, and Electronics Manufacturing",Ocean
ELEQRON,http://eleqron.ca,+1 587-500-6662,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/eleqron-inc,IT Services and IT Consulting,Ocean
Enbridge,http://enbridge.com,"+1 403-231-3900, +1 800-668-2951, +1 888-217-9110, +1 330-690-9422, +1 801-324-5453, +1 800-474-6886, +1 866-828-4888, +1 800-400-2255, +1 800-362-7557, +1 877-362-7434",3000 Fifth Avenue Place,Calgary,AB,Canada,T2P 3L8,"3000 Fifth Avenue Place, Calgary, AB, T2P 3L8, Canada",https://www.linkedin.com/company/enbridge,Oil & Energy,Ocean
Firefly Power and Energy,http://fireflypowerenergy.com,"+1 780-721-4406, +1 403-901-9741",16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/firefly-power-and-energy,Construction,Ocean
GOLDEN RATIO ESTIMATING,http://goldenratioibc.com,+1 403-455-2128,903 8 Ave SW,Calgary,AB,Canada,T2E 2C1,"903 8 Ave SW, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/golden-ratio-estimating,Business Consulting and Services,Ocean
Kanwar Engineering,http://kanwareng.com,"+1 403-923-7558, +1 281-957-6789",27 Avenue NE,Calgary,AB,Canada,T2E 2C1,"27 Avenue NE, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/kanwar-engineering-ltd-,Oil and Gas,Ocean
Kevco Pipelines,http://kevcopipelines.com,+1 403-279-5050,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/kevco-pipelines-ltd,Construction,Ocean
LG Projects,http://lgprojectsltd.ca,,160 Quarry Park Blvd SE,Calgary,AB,Canada,T2E 2C1,"160 Quarry Park Blvd SE, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/lg-projects-ltd.,Construction,Ocean
McIntyre Crane AND Rigging,http://mcintyrecrane.ca,+1 403-888-1255,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/mcintyre-crane-&-rigging-ltd-,Construction,Ocean
MEGA Projects Group,http://megaprojectsgroup.com,+1 403-689-3412,10 Avenue SW  535,Calgary,AB,Canada,T2E 2C1,"10 Avenue SW  535, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/mega-projects-group-incorporated,Oil and Gas,Ocean
Paulson Development,http://paulsondevelopment.ca,,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/paulson-development-ltd,Telecommunications,Ocean
Pembina Pipeline,http://pembina.com,+1 403-231-7500,8 Avenue SW  585,Calgary,AB,Canada,T2P 1G7,"8 Avenue SW  585, Calgary, AB, T2P 1G7, Canada",https://www.linkedin.com/company/pembina-pipeline-corporation,Oil & Energy,Ocean
Point8 Power Systems,http://p8power.com,"+1 403-305-8987, +1 780-903-9946",16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/point8-power,Utilities,Ocean
Project Services Global,http://projectservicesglobal.ca,,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/project-services-global,Oil and Gas,Ocean
SABR Energy Consulting,http://sabrenergyconsulting.com,+1 587-434-7547,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/sabr-energy-consulting-inc,Oil and Gas,Ocean
Scott Land AND Lease,http://scottland.ca,+1 403-261-1000,Scott Land & Lease Ltd.,Calgary,AB,Canada,T2P 2R9,"Scott Land & Lease Ltd., Calgary, AB, T2P 2R9, Canada",https://www.linkedin.com/company/scott-land-&-lease-ltd.,Oil & Energy,Ocean
SkyCrest Services,http://skycrestservices.com,+1 403-924-4357,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/skycrest-services,Renewable Energy Semiconductor Manufacturing,Ocean
Summit Infrastructure,http://summit-infrastructure.com,+1 403-629-6187,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/summit-infrastructure,Truck Transportation,Ocean
Westland Electric 2014,http://westland-electric.com,+1 403-255-5966,16 Avenue NW  4634,Calgary,AB,Canada,T2E 2C1,"16 Avenue NW  4634, Calgary, AB, T2E 2C1, Canada",https://www.linkedin.com/company/westland-electric-2014-ltd.,"Electrical Distribution, Electronics, Commercial, Service Industry, Construction, Energy, Energy Management",Ocean
Custom Energized Air,http://customenergizedair.com,"+1 780-465-2247, +1 403-348-5567",9555 62 Ave Nw,Edmonton,AB,Canada,T6E 0E1,"9555 62 Ave Nw, Edmonton, AB, T6E 0E1, Canada",https://www.linkedin.com/company/custom-energized-air-ltd,Machinery,Ocean
Lexus Engineering,http://lexuseng.ca,+1 780-435-4544,8716 48 Avenue NW,Edmonton,AB,Canada,T6E 5L1,"8716 48 Avenue NW, Edmonton, AB, T6E 5L1, Canada",https://www.linkedin.com/company/lexus-engineering-ltd-,Construction,Ocean
SIERRA ELECTRICAL,http://sierraelectrical.com,+44 7809 449400,9808 45th Ave NW,Edmonton,AB,Canada,Edmonton,"9808 45th Ave NW, Edmonton, AB, Edmonton, Canada",https://www.linkedin.com/company/sierra-electrical-ltd,Construction,Ocean
Proline Power,http://prolinepower.ca,+1 403-596-8199,Poplar Street  95,Red Deer,AB,Canada,T4E 1A9,"Poplar Street  95, Red Deer, AB, T4E 1A9, Canada",https://www.linkedin.com/company/proline-power-corp,Utilities,Ocean
Adrenaline Directional Boring,http://adrenalinedb.ca,+1 780-913-8974,Sherwood Park,Sherwood Park,AB,Canada,T8A 4E9,"Sherwood Park, Sherwood Park, AB, T8A 4E9, Canada",https://www.linkedin.com/company/adrenalinedb,Oil and Gas,Ocean
Meridian Power Systems,http://meridianpower.ca,+1 780-416-7575,Kaska Road,Sherwood Park,AB,Canada,T8A 4E9,"Kaska Road, Sherwood Park, AB, T8A 4E9, Canada",https://www.linkedin.com/company/meridian-power-systems-inc,Utilities,Ocean
Summit Site Services,http://summitsiteservices.com,,Box 2395,Stony Plain,AB,Canada,T7Z 1X8,"Box 2395, Stony Plain, AB, T7Z 1X8, Canada",https://www.linkedin.com/company/summit-site-services-inc.,Construction,Ocean
Wild Rose REA,http://wildroserea.com,+1 877-749-3655,59422 Ab-44 #305,Westlock,AB,Canada,T7P 2P4,"59422 Ab-44 #305, Westlock, AB, T7P 2P4, Canada",https://www.linkedin.com/company/wild-rose-rea-ltd.,Utilities,Ocean
Cox Electric,http://coxelectric.ca,+1 403-582-0108,17 Avenue,Crowsnest Pass,AB - Alberta,Canada,T0K 0M0,"17 Avenue, Crowsnest Pass, AB - Alberta, T0K 0M0, Canada",https://www.linkedin.com/company/coxelectric,Construction,Ocean
Mainland Electric AND Controls,http://mainlandelectric.info,+1 778-212-6684,Crowsnest Pass,Crowsnest Pass,AB - Alberta,Canada,T0K 0M0,"Crowsnest Pass, Crowsnest Pass, AB - Alberta, T0K 0M0, Canada",https://www.linkedin.com/company/mainland-electric-controls,Construction,Ocean
Xentric Engineering,http://xentric.ca,,Unit #103B,1205 Bow Valley Trail,AB T1W 1P5,Canada,T1W 3M6,"Unit #103B, 1205 Bow Valley Trail, AB T1W 1P5, T1W 3M6, Canada",https://www.linkedin.com/company/xentric-engineering-ltd,Information Technology and Services,Ocean
Acden,http://www.acden.com,'+1 780-791-9131,220 Taiganova Cres,,Alberta,Canada,,"220 Taiganova Cres, Alberta, Canada",http://www.linkedin.com/company/acden,oil & energy,Apollo
Bouchier,http://www.bouchier.ca,'+1 780-790-1682,Alberta,,Alberta,Canada,,"Alberta, Alberta, Canada",http://www.linkedin.com/company/the-bouchier-group,construction,Apollo
Brock Canada,,'+1 281-807-8200,3735 8 St,,Alberta,Canada,,"3735 8 St, Alberta, Canada",http://www.linkedin.com/company/brock-canada,oil & energy,Apollo
Casman Group of Companies,http://www.casman.ca,'+1 780-791-9283,330 MacKenzie Blvd,,Alberta,Canada,,"330 MacKenzie Blvd, Alberta, Canada",http://www.linkedin.com/company/casman-group-of-companies,construction,Apollo
